Sr. No,Study No.,Study Title,Principle Investigator,Current Status,Publication 
1,2013,Impact of Anti glaucoma Medication on ocular Surface (Prospective cross sectional study),Dr. Sapna Kini,Completed,No
2,2013,To find out efficacy of integrated approach towards childhood  asthma (Hypersensitive airways) compared with conventional treatment (Retrospective study),Dr. Memane,Completed,Yes
3,2013,A Preliminary retrospective study on blood group and male infertility: Is there a connection?,Dr. Sunita Prasad,Withdrawn by PI,No
4,2013,Perceptions of Laypersons on the Institutional Review Boards about Their Role and Current Practices,Mrs. Mukta Kuyare,Completed,No
5,2013,A prospective single arm physician Initiated Trial (PIT) to assess safety and efficacy of Biolimus 49- Eluting Stent (BES): All- Comers including complex cases sub-group,Dr. Rajiv Bhagwat,Completed,No
6,2013,"Effect of preoperative and postoperative spiritual care on quality of life , spiritual well being, anxiety and life style in cancer patient undergoing surgical treatment.",Dr Komal Dalal,Completed,No
7,2013,"Effect of spiritual care on Quality of life, spiritual well being, anxiety and lifestyle among relative or caregiver of cancer diagnosed patient",Dr Komal Dalal,Completed,Yes
8,2013,Assessment of  Effect of various lifestyle factors on semen parameters,Dr. Sunita Prasad,Completed,No
9,2013,Assessment of intravenous complications of neonates admitted in NICU at BhaktiVedanta hospital.,Mrs. Bindumol Mathew,Completed,No
10,2013,To study factors influencing selection of antibiotics for Lower Respiratory Tract Infections (LRTI) in hospitalized patient and its impact on outcome,Dr Ajay Godse,Completed,No
12,2013,Vitamin D level in patients having chronic musculoskeletal complaints visited to Rheumatology OPD Clinic: A Retrospective Study,Dr Pramodini Shankaran,Completed,No
13,2013,A Pilot Study To Explore The Knowledge Attitude And Practices Of Care Givers In Relation To Home Care Of Schizophrenic Patient,Mrs. Swati Bhide,Completed,No
14,2013,A pilot explorative study to assess the effectiveness of knowledge on fever and its management among mothers of under five children through structured teaching program in Chena community,Mrs. Jyotsna Tamore,Completed,No
15,2013,An analytical study to assess the knowledge about management of pressure ulcers among staff nurses working in Intensive Care Unit,Mrs. Jyotsna Tamore,Completed,No
16,2013,An explorative study to assess the lifestyle of chronic renal failure patients receiving hemodialysis,Mrs. Swati Bhide,Completed,No
17,2014,Randomised controlled study to access effect of spiritual care of patients with generalised anxiety and depression visited to Psychiatric OPD at BhaktiVedanta Hospital,Dr Komal Dalal,Completed,Yes
18,2014,A retrospective analysis of Complications of laparoscopic cholecystectomy in symptomatic and asymptomatic cholecysto- lithiasis,Dr B. C Shah,Completed,Yes
19,2014,Pilot study of the health related quality of life of diabetic patients in a hospital of modern urban city in India and comparing the current Indian diabetes management with international practices.,Dr Ameya Joshi,Completed,No
20,2014,"A randomized, Open label, controlled study to evaluate  Effect of pressure relieving device (ALPHAXCELL)  on development and progress of pressure ulcer among patients  admitted to intensive care units of BhaktiVedanta hospital",Mrs Uma Shetkar,Completed,No
21,2014,Retrospective analysis of antibiotic sensitivity pattern of urinary pathogens at BhaktiVedanta Hospital.,Dr Sivaprasad Gourabathini,Completed,No
22,2014,Phacoemulsification in a rural camp setting-a feasibity Report.,Dr. Suraj Bhagde,Completed,Yes
